id,inicio,fim,esporte,genero,fase,local1,local2,cidade
BK039,2016-08-13T15:30-03:00,2016-08-13T19:30-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK041,2016-08-14T12:15-03:00,2016-08-14T14:00-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK044,2016-08-14T15:30-03:00,2016-08-14T19:30-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
MP001,2016-08-18T10:00-03:00,2016-08-18T13:00-03:00,Pentatlo moderno,Feminino,Prova classificatória de Esgrima,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
MP002,2016-08-18T14:30-03:00,2016-08-18T17:30-03:00,Pentatlo moderno,Masculino,Prova classificatória de Esgrima,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BV001,2016-08-06T10:00-03:00,2016-08-06T13:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV002,2016-08-06T15:30-03:00,2016-08-06T19:20-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV003,2016-08-06T21:00-03:00,2016-08-06T00:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV004,2016-08-07T10:00-03:00,2016-08-07T13:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV005,2016-08-07T15:30-03:00,2016-08-07T19:20-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV006,2016-08-07T21:00-03:00,2016-08-07T00:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV007,2016-08-08T10:00-03:00,2016-08-08T13:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV008,2016-08-08T15:30-03:00,2016-08-08T19:20-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV009,2016-08-08T21:00-03:00,2016-08-08T00:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
